Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1669243952,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669243953,3,,Aggregated,0.000000,0.000000,950,950,950,950,950,950,950,950,950,950,950,3,0,950.0,948.4536920002332,947.2033299998657,950.1831340003264,148.66666666666666
1669243954,6,,Aggregated,0.000000,0.000000,930,950,950,950,950,980,980,980,980,980,980,11,0,930.0,751.9363559090793,432.5997500000085,979.7959349998564,148.9090909090909
1669243955,9,,Aggregated,0.000000,0.000000,650,920,930,940,950,950,980,980,980,980,980,22,0,650.0,712.555130499988,415.25789800016355,979.7959349998564,148.9090909090909
1669243956,12,,Aggregated,2.000000,0.000000,700,800,860,930,950,950,980,980,980,980,980,34,0,680.0,717.6806836469576,415.25789800016355,979.7959349998564,148.94117647058823
1669243957,15,,Aggregated,4.000000,0.000000,770,860,930,950,1000,1000,1200,1200,1200,1200,1200,48,0,750.0,775.0074138541171,415.25789800016355,1200.3898290004145,149.0
1669243958,15,,Aggregated,6.750000,0.000000,810,930,980,1000,1100,1200,1300,1400,1400,1400,1400,62,0,810.0,825.4066205322048,415.25789800016355,1353.3562590000656,148.90322580645162
1669243959,15,,Aggregated,7.600000,0.000000,810,940,1000,1000,1200,1400,1400,1800,1800,1800,1800,70,0,810.0,842.1659896285356,347.6108769991697,1806.875282000874,148.9142857142857
1669243960,15,,Aggregated,9.166667,0.000000,820,950,1000,1100,1400,1900,2000,2500,2500,2500,2500,82,0,810.0,904.5107457682872,186.84713000038755,2452.6964830001816,148.9512195121951
1669243961,15,,Aggregated,9.714286,0.000000,860,1000,1200,1400,1900,2100,2300,2500,2500,2500,2500,98,0,840.0,972.3033960101798,183.63582099937048,2452.6964830001816,149.0
1669243962,15,,Aggregated,9.250000,0.000000,860,1000,1300,1500,1900,2100,2200,2300,2500,2500,2500,110,0,840.0,980.949376663615,183.63582099937048,2452.6964830001816,149.0
1669243963,15,,Aggregated,9.888889,0.000000,890,1000,1400,1600,1900,2100,2200,2300,2500,2500,2500,127,0,890.0,1012.8374051023854,183.63582099937048,2452.6964830001816,149.0236220472441
1669243964,15,,Aggregated,10.200000,0.000000,930,1100,1200,1500,1800,2000,2200,2300,2500,2500,2500,141,0,930.0,1014.7399411560418,183.63582099937048,2452.6964830001816,149.03546099290782
1669243965,15,,Aggregated,11.400000,0.000000,930,1100,1200,1400,1800,2000,2100,2300,2500,2500,2500,155,0,930.0,1009.1390005806862,183.63582099937048,2452.6964830001816,149.03225806451613
1669243966,15,,Aggregated,12.600000,0.000000,950,1100,1200,1400,1800,1900,2100,2300,2500,2500,2500,169,0,950.0,1020.7818024024139,183.63582099937048,2452.6964830001816,149.01775147928993
1669243967,15,,Aggregated,13.400000,0.000000,940,1100,1200,1400,1800,1900,2100,2300,2500,2500,2500,182,0,930.0,1004.45296857698,183.63582099937048,2452.6964830001816,148.97802197802199
1669243968,15,,Aggregated,13.300000,0.000000,930,1100,1200,1400,1800,1900,2100,2300,2500,2500,2500,197,0,930.0,993.0296964569045,183.63582099937048,2452.6964830001816,148.9746192893401
1669243969,15,,Aggregated,13.700000,0.000000,950,1100,1300,1500,1800,2000,2100,2200,2500,2500,2500,208,0,950.0,1012.1572226923549,183.63582099937048,2452.6964830001816,149.0
1669243970,15,,Aggregated,13.400000,0.000000,950,1200,1400,1500,1800,2000,2200,2300,2500,2500,2500,220,0,950.0,1017.7176482182153,183.63582099937048,2507.946885999445,149.0
1669243971,15,,Aggregated,13.500000,0.000000,950,1200,1400,1600,1900,2100,2300,2500,2600,2600,2600,235,0,950.0,1038.6779262808748,181.2522939999326,2622.396861999732,149.01276595744682
1669243972,15,,Aggregated,13.900000,0.000000,950,1200,1500,1600,2000,2200,2500,2600,2900,2900,2900,247,0,950.0,1048.3263360283559,181.2522939999326,2861.148273999788,149.01214574898785
