Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1669247765,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1669247766,3,,Aggregated,0.000000,0.000000,710,710,710,710,710,710,710,710,710,710,710,3,0,711.9134660006239,712.5959236661098,711.9134660006239,713.2917229992017,140.0
1669247767,6,,Aggregated,0.000000,0.000000,610,710,710,850,850,980,980,980,980,980,980,13,0,610.0,556.1593379996059,127.53553899892722,977.0439309995709,140.0
1669247768,9,,Aggregated,0.000000,0.000000,280,360,430,510,710,850,1400,1400,1400,1400,1400,46,0,240.0,349.2742826522416,66.48276499981876,1384.52757900086,140.0
1669247769,12,,Aggregated,3.000000,0.000000,280,360,410,440,590,710,980,1400,1400,1400,1400,83,0,280.0,332.61060336148347,66.48276499981876,1384.52757900086,140.0
1669247770,15,,Aggregated,5.500000,0.000000,290,350,400,410,520,710,850,980,1400,1400,1400,125,0,290.0,323.5849833040993,61.50894900019921,1384.52757900086,140.0
1669247771,15,,Aggregated,20.750000,0.000000,300,360,400,410,500,590,850,980,1400,1400,1400,172,0,300.0,331.45816639541385,61.50894900019921,1384.52757900086,140.0
1669247772,15,,Aggregated,25.000000,0.000000,310,360,400,410,490,560,710,850,1400,1400,1400,219,0,310.0,332.13069411418746,61.50894900019921,1384.52757900086,140.0
1669247773,15,,Aggregated,27.833333,0.000000,310,360,400,420,480,520,710,850,1400,1400,1400,265,0,310.0,332.9149062415178,61.50894900019921,1384.52757900086,140.0
1669247774,15,,Aggregated,30.428571,0.000000,320,360,400,420,470,510,710,850,1400,1400,1400,308,0,320.0,334.02238694481474,61.50894900019921,1384.52757900086,140.0
1669247775,15,,Aggregated,30.428571,0.000000,320,350,390,410,470,510,610,850,1400,1400,1400,356,0,320.0,329.22850136797894,61.50894900019921,1384.52757900086,140.0
1669247776,15,,Aggregated,31.875000,0.000000,310,350,390,410,460,510,590,710,1400,1400,1400,406,0,310.0,326.9444029728906,61.50894900019921,1384.52757900086,140.0
1669247777,15,,Aggregated,35.600000,0.000000,310,360,390,410,470,500,610,850,1400,1400,1400,448,0,310.0,327.69009894195335,61.50894900019921,1384.52757900086,140.0
1669247778,15,,Aggregated,40.300000,0.000000,300,340,370,400,450,490,590,710,1400,1400,1400,526,0,300.0,312.4910621863023,61.50894900019921,1384.52757900086,140.0
1669247779,15,,Aggregated,43.600000,0.000000,290,330,360,390,440,490,560,710,1400,1400,1400,588,0,290.0,302.3041985118924,61.50894900019921,1384.52757900086,140.0
1669247780,15,,Aggregated,46.600000,0.000000,280,320,350,370,430,480,540,710,1400,1400,1400,658,0,280.0,292.99873590272387,61.50894900019921,1384.52757900086,140.0
1669247781,15,,Aggregated,50.200000,0.000000,280,310,340,360,430,480,530,710,1400,1400,1400,732,0,280.0,285.1295582417886,61.50894900019921,1384.52757900086,140.0
1669247782,15,,Aggregated,53.000000,0.000000,270,300,330,360,420,480,520,710,1400,1400,1400,798,0,270.0,279.21767253005385,61.50894900019921,1384.52757900086,140.0
1669247783,15,,Aggregated,55.800000,0.000000,270,300,330,350,410,470,520,610,1400,1400,1400,871,0,270.0,274.04891760044023,61.50894900019921,1384.52757900086,140.0
1669247784,15,,Aggregated,58.200000,0.000000,260,300,320,340,410,460,520,590,1400,1400,1400,942,0,260.0,269.62808471654444,61.50894900019921,1384.52757900086,140.0
1669247785,15,,Aggregated,60.700000,0.000000,250,290,310,340,400,450,510,590,1200,1400,1400,1009,0,250.0,265.97892544002383,61.50894900019921,1384.52757900086,140.0
1669247786,15,,Aggregated,62.500000,0.000000,250,290,310,330,400,450,510,590,1200,1400,1400,1083,0,250.0,261.95701322159306,61.50894900019921,1384.52757900086,140.0
1669247787,15,,Aggregated,64.700000,0.000000,240,280,310,320,390,440,500,560,1200,1400,1400,1152,0,240.0,257.9959099505041,61.50894900019921,1384.52757900086,140.0
1669247788,15,,Aggregated,66.900000,0.000000,240,280,300,320,390,440,500,560,1400,1400,1400,1243,0,240.0,252.96732889620324,61.50894900019921,1424.1480710006726,140.0
1669247789,15,,Aggregated,70.200000,0.000000,230,270,300,310,380,430,500,550,1400,1400,1400,1336,0,230.0,246.7508592065719,61.50894900019921,1424.1480710006726,140.0
1669247790,15,,Aggregated,71.600000,0.000000,220,270,290,310,370,430,490,540,1400,1400,1400,1424,0,220.0,241.61781349366578,61.50894900019921,1424.1480710006726,140.0
1669247791,15,,Aggregated,73.700000,0.000000,220,260,290,300,360,430,490,530,1400,1400,1400,1511,0,220.0,237.0384773507445,61.50894900019921,1424.1480710006726,140.0
1669247792,15,,Aggregated,75.500000,0.000000,210,250,280,300,360,420,490,520,1400,1400,1400,1603,0,210.0,233.0372187754075,61.50894900019921,1424.1480710006726,140.0
1669247793,15,,Aggregated,77.900000,0.000000,210,240,280,300,360,420,480,520,1400,1400,1400,1696,0,210.0,229.3780308077757,61.50894900019921,1424.1480710006726,140.0
1669247794,15,,Aggregated,80.000000,0.000000,210,240,270,290,350,410,480,520,1400,1400,1400,1786,0,200.0,225.92997480122597,61.50894900019921,1424.1480710006726,140.0
1669247795,15,,Aggregated,82.100000,0.000000,200,240,270,290,350,410,480,520,1400,1400,1400,1880,0,200.0,222.67271459308162,61.50894900019921,1424.1480710006726,140.0
1669247796,15,,Aggregated,85.000000,0.000000,200,230,270,290,340,410,480,520,1400,1400,1400,1972,0,200.0,219.96733150811735,61.50894900019921,1424.1480710006726,140.0
1669247797,15,,Aggregated,87.000000,0.000000,200,230,260,280,340,400,470,520,1200,1400,1400,2066,0,200.0,217.45001754453665,61.50894900019921,1424.1480710006726,140.0
1669247798,15,,Aggregated,88.600000,0.000000,190,230,250,280,330,400,470,510,1200,1400,1400,2159,0,190.0,214.95693947985345,61.50894900019921,1424.1480710006726,140.0
1669247799,15,,Aggregated,90.500000,0.000000,190,220,250,270,330,400,470,510,1200,1400,1400,2250,0,190.0,212.83377345866313,61.50894900019921,1424.1480710006726,140.0
